Sl_No,CIN,Company_Name,Triggered_By,NCLT_Bench,Defunct,Date_Insolvency_Commencement,Date_Resolution_Order,Total_Admitted_Claims,Admitted_Claims_FC,Admitted_Claims_OC,Liquidation_Value,Realisable_FC,Realisable_OC,Liquidation_Flag
336,U45309MH2016PTC287566,Aristo Developer Private Limited,OC,Mumbai,No,2018-11-20,2021-03-23,2457.9773500274,2403.8463729274,54.1309771,754.84136,1820.2438600372036,23.4053081,0
337,U27320WB1971PTC027983,R D Alloys Pvt Ltd,FC,Kolkata,Yes,2019-10-25,2021-03-24,14.62,11.82,2.8,14.36,4.87,0.05,0
338,U27102WB1977PTC030909,Gandhamardhan Sponge Industries Pvt Ltd,FC,Kolkata,Yes,2019-10-04,2021-03-25,63.8497587,4.8567347,58.993024,18.003631,4.8567347,12.8048943,0
339,L26100MH1998PLC117437,Sejal Glass Limited,FC,Mumbai,No,2019-02-13,2021-03-26,150.706895032,117.126188332,33.5807067,27.6231359,29.5067157,1.9052486,0
340,L26109AP1987PLC007306,Techtran Polylenses Limited,OC,Hyderabad,Yes,2019-04-22,2021-03-26,27.65,2.89,24.76,10.55,2.29,6.44,0
341,U45200TG2004PLC043015,GKC Projects Limited,FC,Hyderabad,No,2019-11-21,2021-03-30,1794.45,1682.0,112.45,85.69,428.69,1.14,0
342,U17115GJ2013PTC074360,Riddhi Siddhi Cotspin Private Limited,FC,Ahmedabad,Yes,2020-01-01,2021-03-31,29.93,29.93,0.0,3.61,3.38,0,0
343,U45400DL2007PTC163271,JBB-Everest Buildtech Private Limited,OC,Allahabad,No,2019-08-09,2021-04-05,53.74,53.06,0.68,37.09,48.21,0.68,0
344,U27109WB1995PLC076114,UIC Udyog Limited,FC,Kolkata,No,2019-09-30,2021-04-07,480.1,466.62,13.48,29.48,30.5,0.07,0
345,L28120TG1988PLC008610,Splendid Metal Products Limited,FC,Hyderabad,No,2019-04-04,2021-04-08,3928.1034761,3632.0756605,296.0278156,268.73,440.7755,1,0
346,U74999DL2016PTC300081,Solven Power Systems Private Limited,OC,New Delhi,No,2020-02-18,2021-04-08,7.15,5.4,1.75,3.08,5.4,0.6,0
347,U28992WB1990PLC050028,Transafe Services Ltd.,FC,Kolkata,No,2019-11-21,2021-04-09,632.8199999999999,361.09,271.73,46.06,47.14,2.84,0
348,U40109TG2002PLC038452,Lanco Thermal Power Limited,FC,Hyderabad,No,2019-05-09,2021-04-26,33331.13,33331.03,0.1,131.85,136.25,0,0
349,L28910GJ1989PLC012015,Sanghvi Forging & Engineering Limited,FC,Ahmedabad,No,2019-08-30,2021-04-26,223.6993392,177.9819021,45.7174371,120.65,75,2.06,0
350,U45200TG2007PLC053124,Lanco Hoskote Highway Limited,FC,Hyderabad,No,2019-10-17,2021-04-26,690.1999999999999,648.28,41.92,110.78,196.7,5.2,0
351,U27100WB2008PTC121962,Prithvi Ferro Alloys Private Limited,FC,Kolkata,Yes,2019-08-08,2021-05-03,193.59,190.22,3.37,59.11,56.28,0.38,0
352,U24231DL2006PTC146931,Francis Remedies (India) Private Limited,FC,New Delhi,No,2020-03-02,2021-05-03,16.189999999999998,4.42,11.77,6.17,5.12,0.71,0
353,L51109WB1948PLC017239,R.D.Rubber Reclaim Limited,FC,Kolkata,No,2019-10-25,2021-05-11,38.49,24.45,14.04,13.93,7.92,1.2,0
354,U20293WB2011PTC165514,AEON Manufacturing Private Limited,FC,Kolkata,Yes,2019-10-30,2021-05-11,145.45663380000002,106.7037217,38.7529121,7.5114,9.01,0.05,0
355,U64200DL2008PLC179213,Lemon Electronics Limited,OC,New Delhi,Yes,2020-02-27,2021-05-13,86.62,79.92,6.7,0.94,19.05,0.07,0
356,U45203MH2002PTC137098,Gupta Infratec Private Limited,FC,Mumbai,No,2018-02-01,2021-05-19,3328.465316261,3327.288996561,1.1763197,65.2125224,70,0,0
357,U55101WB2009PTC132828,Krish (Raipur) Hotels Private Limited,FC,Kolkata,No,2019-09-30,2021-05-19,179.44,167.75,11.69,31.09,29.34,0.25,0
358,U55101DL2011PTC221339,Unnati fortune Hotmart Private Limited,FC,New Delhi,No,2019-06-11,2021-05-20,68.528706,50.2228948,18.3058112,26.7,31.2643576,2.3802563,0
359,U51311DL2002PTC114106,Pawan Impex Private Limited,FC,New Delhi,No,2019-07-25,2021-05-31,206.81,205.55,1.26,143.85,130.25,1.26,0
360,U72200DL2000PTC105754,SVIIT Software Private Limited,FC,New Delhi,No,2019-07-25,2021-05-31,71.77,70.96,0.81,40.14,35.2,0.15,0
361,U74999MH2009PTC196937,Wow Solutions & Systems Private Limited,FC,Mumbai,No,2019-12-19,2021-05-31,3.14,1.52,1.62,1.1,1.52,1.57,0
362,U70101DL2005PTC141373,Puma Realtors Private Limited,FC,New Delhi,No,2018-10-17,2021-06-01,307.26,293.44,13.82,279.5,293.44,4.04,0
363,U45400TN2012PTC084052,Evo Con Private Limited,OC,Chennai,No,2019-05-29,2021-06-04,75.33,74.12,1.21,31.37,71.22,0.99,0
364,L65910MH1984PLC032639,Dewan Housing Finance Corporation Limited,RBI,Mumbai,No,2019-12-03,2021-06-07,87247.6765072,87082.9865072,164.69,26850.03,37160.97,6.03,0
365,L51397MH2002PLC136652,Syncom Healthcare Limited,FC,Mumbai,No,2019-08-14,2021-06-14,33.46,31.91,1.55,12.68,12.81,0.023,0
366,U26922WB2006PTC109915,Swati Udyog Pvt Ltd,FC,Kolkata,No,2019-11-26,2021-06-16,96.93,90.08,6.85,13.76,13.24,0.07,0
367,U21010MH1994PLC082078,Shree Vindhya Cast Coaters Limited,FC,Mumbai,Yes,2019-05-31,2021-06-21,310.4,308.06,2.34,0.49,0.71,0.02,0
368,U15549PN1988PLC050000,Vivita Limited,FC,Mumbai,Yes,2019-09-19,2021-06-21,1055.63,1055.63,0.0,4.99,5.19,0,0
369,U18109MH2008PLC177635,Topman Exports Limited,FC,Mumbai,No,2019-10-14,2021-06-22,196.38,190.73,5.65,12.99,17,0.15,0
370,L26940AP1955PLC000546,Panyam Cements and Mineral Industries Limited,FC,Chennai,No,2020-05-14,2021-06-25,653.05,386.1,266.95,85.46,90.25,5.77,0
371,U21094WB2000PTC092054,K.K. Gifts Private Limited,FC,Kolkata,No,2019-09-06,2021-06-28,7.16369985,4.80369985,2.36,0.29803745,0.83,0.03,0
372,U40300TG2011PTC074035,Indira Priyadarshini Hydro Power Private Limited,OC,Hyderabad,No,2019-12-12,2021-07-02,39.13,33.79,5.34,3.51,2.54,0.1,0
373,U24230GJ1980PTC047642,Alps Pharmaceuticals Private Limited,FC,Ahmedabad,Yes,2019-11-06,2021-07-06,67.6592713,38.8395932,28.8196781,5.9712892,6.1806467,0.2893533,0
374,U27310WB2011PTC161584,Vista Mining Private Limited,FC,Kolkata,Yes,2020-02-25,2021-07-13,39.97,39.31,0.66,7.1,3.49,0.12,0
375,L27107RJ1968PLC001245,Anil Special Steel Industries Limited,OC,New Delhi,Yes,2018-03-05,2021-07-16,95.17,84.83,10.34,18.67,28.2,0.57,0
376,U40103MH1985PLC035675,Cyclo Transmission Limited,FC,Mumbai,No,2018-12-18,2021-07-16,35.867746501,20.2026073,15.665139201,10.53,8.5877553,0.6810162,0
377,U52190RJ2012PTC038237,Jadoun International Private Limited,OC,New Delhi,No,2019-01-25,2021-07-16,6.17,5.32,0.85,0.39,0.95,0.02,0
378,U74899DL1995PTC074305,Surya Manufacturing Private Limited,OC,New Delhi,Yes,2019-11-21,2021-07-28,28.64,28.28,0.36,6.93,6.27,0.04,0
379,U40100TG2012PTC083762,Epower Energy (India) Private Limited,OC,Hyderabad,No,2019-07-12,2021-08-05,34.499310655,17.749299301,16.750011353999998,11.8789814,15.5286825,0.167495926,0
380,U45200DL2007PTC160318,IREO Fiveriver Private Limited,OC,New Delhi,Yes,2018-12-13,2021-08-06,417.83,408.51,9.32,135.28,335.36,0.16,0
381,U27102OR2003PTC007127,Jagannath Sponge Private Limited,CD,Kolkata,Yes,2019-04-22,2021-08-06,91.43,91.43,0.0,6.62,8.75,0,0
382,U40101TG2006PTC049472,KVK Energy and Infrastructure Private Limited,FC,Hyderabad,No,2020-01-21,2021-08-06,596.4100000000001,428.47,167.94,0.03,15.1,0.04,0
383,U26100TG2008PTC059330,Samyu Glass Private Limited,FC,Hyderabad,No,2019-10-18,2021-08-13,117.2,106.34,10.86,27.94,34.32,0.05,0
384,U50101TZ2002PTC010090,ABT (Madras) Private Limited,FC,Chennai,No,2019-12-04,2021-09-03,548.4362540000001,548.400382,0.035872,238.2538307,314.5,0.035872,0
385,U24239TG2005PTC046447,Alekhya Drugs Private Limited,OC,Hyderabad,No,2019-12-11,2021-09-03,47.6095634,14.0970134,33.51255,20.69,14.0970134,19.7725134,0
386,U26940GJ2000PLC037886,Shriram Cement Limited,OC,Ahmedabad,No,2019-09-20,2021-09-20,24.51,21.04,3.47,5.45,6,0.13,0
387,U25110GJ1998PTC034100,Polygold Pre-Cured Systems Private Limited,FC,Ahmedabad,No,2020-03-16,2021-09-20,11.15,6.72,4.43,12.77,6.78,4.36,0
388,U27109WB2005PLC104575,Mackeil Ispat & Forging Limited,FC,Kolkata,No,2020-02-03,2021-09-21,476.336,458.23,18.106,36.55,32.86,0.84,0
389,U74899DL1994PTC060673,Dash Exports Private Limited,OC,New Delhi,Yes,2020-02-26,2021-09-29,4838.2300000000005,4800.38,37.85,27.57,26.9,0.1,0
390,L27109TG1990PLC011002,Kumar'S Metallurgical Corporation Ltd,FC,Hyderabad,Yes,2018-11-28,2021-10-01,5632.37,5606.67,25.7,15.77,41.13,0.43,0
391,U24239TG2003PTC042272,Therdose Pharma Private Limited,OC,Hyderabad,No,2020-01-09,2021-10-01,41.2617583,21.1417583,20.12,33.5,21.1417583,13.5,0
392,U40100GJ2009PLC058694,Vadraj Energy (Gujarat) Limited,FC,Ahmedabad,Yes,2020-01-08,2021-10-05,617.11,593.69,23.42,34.22,111.89,0.17,0
393,U72200GJ1992PTC017786,Poggenamp Nagarsheth Powertronics Private Limited,OC,Ahmedabad,No,2020-01-22,2021-10-05,82.28,53.32,28.96,45.61,54.16,0.8,0
394,L17120DN1993PLC000368,Raj Rayon Industries Limited,FC,Ahmedabad,No,2020-01-23,2021-10-05,1704.25,1619.45,84.8,68.55,78.49,0.11,0
395,L70101GJ1993PLC020927,GSL Nova Petrochemicals Limited,OC,Ahmedabad,No,2020-03-18,2021-10-05,14.3410527,10.4157357,3.925317,0.0408,0.12,0.03,0
396,U70100HR2011PTC042130,Skyhigh Infraland Private Limited,FC,Chandigarh,Yes,2018-10-29,2021-10-06,68.39,56.56,11.83,31.04,37.32,2.18,0
397,L29299UP1957PLC021118,Fedders Electric And Engineering Limited,FC,Allahabad,No,2019-08-14,2021-10-06,1097.64,978.69,118.95,113.09,83.23,2.1,0
398,U28999MH1996PTC098436,Universal Industrial Equipment and Technical Services Private Limited,OC,Mumbai,No,2019-12-18,2021-10-07,107.239165091,72.747897156,34.491267935,13.5,12.8275,0.1725,0
399,U27109WB2005PTC100957,Dimension Steel & Alloys Private Limited,OC,Kolkata,Yes,2019-10-18,2021-10-08,330.38,245.02,85.36,15.89,19.03,0.2,0
400,L15531RJ1993PLC007168,Mount Shivalik Industries Limited,FC,Jaipur,Yes,2018-06-12,2021-10-13,98.23,60.35,37.88,28.75,34.72,4.79,0
401,L24117RJ1996PLC012912,Bohra Industries Limited,FC,Jaipur,No,2019-08-07,2021-10-13,77.24,70.72,6.52,22.75,25.21,1.1,0
402,U51109TG2002PTC039141,Amrit Jal Ventures Private Limited,FC,Hyderabad,No,2019-05-07,2021-10-14,663.9300000000001,663.73,0.2,4.84,12.31,0.06,0
403,U45204GJ2006PTC048048,Jyoti Power Corporation Private Limited,FC,Ahmedabad,Yes,2020-02-05,2021-10-14,737.73,678.29,59.44,15.06,26.61,0.1,0
404,U15142GJ2012PTC070644,Khushiya Industries Private Limited,OC,Ahmedabad,Yes,2020-09-28,2021-10-14,49.78,34.08,15.7,8.48,8.61,0.01,0
405,L17290GJ2005PLC046345,Pradip Overseas Limited,FC,Ahmedabad,No,2020-11-09,2021-10-14,2663.25,2649.7,13.55,101.4,126,1.03,0
406,U45201DL2005PTC139695,Abir Infrastructure Private Limited,OC,New Delhi,No,2019-01-30,2021-10-28,1153.9883395,1035.0729376,118.9154019,37.258409,42,4.855529,0
407,U74110DL2012PTC245779,Exclusife Technosoft Private Limited,OC,New Delhi,No,2020-09-01,2021-10-29,10.79,6.81,3.98,1.96,0.0038,1.57,0
408,U27102OR2001PTC006622,Sri Ganesh Sponge Iron Private Limited,FC,Kolkata,Yes,2019-02-18,2021-11-01,119.4,119.4,0.0,13.16,30,,0
409,U27109CT2004PTC016643,Crest Steel and Power Private Limited,OC,Mumbai,No,2019-03-11,2021-11-01,3651.699161321,3119.0831604,532.616000921,303.64806615,301,14.999999974068931,0
410,U45102MH1995PTC085653,ETCO Industries Private Limited,OC,Mumbai,No,2019-09-26,2021-11-01,94.5053864,86.0299698,8.4754166,18.4197594,26.5,0.1,0
411,U21000CT2010PTC022174,Kanak Pulp and Paper Mill Private Limited,FC,Cuttack,Yes,2019-11-14,2021-11-01,18.77,18.77,0.0,2.03,2.72,0,0
412,U27203OR2009PTC010687,Swain Aluminium Private Limited,CD,Cuttack,No,2020-02-20,2021-11-01,55.44,54.83,0.61,5.02,5.18,0,0
413,U40100DL2005PLC201961,Essar Power M P Limited,FC,New Delhi,No,2020-10-03,2021-11-01,12723.6024563,12067.5769383,656.025518,1733.4,2500,0,0
414,U05004AP2002PLC038514,RVR Marine Products Limited,FC,Hyderabad,No,2019-10-30,2021-11-02,160.27,160.27,0.0,5.05,11.75,0,0
415,U17124CT1994PLC008350,Salasar Steel and Power Limited,OC,Cuttack,No,2019-09-27,2021-11-08,713.2199999999999,641.17,72.05,82.52,140.07,5.14,0
416,U27108GA1993PLC001316,Goa Invescast Limited,OC,Mumbai,Yes,2019-07-04,2021-11-09,13.0831324,4.0031324,9.08,4.17,2.75,0.9234,0
417,L27109TG1985PLC005259,Sri Vasavi Industries Limited,FC,Hyderabad,Yes,2019-10-28,2021-11-10,829.46,695.09,134.37,16.16,15.54,0.35,0
418,U40109TG1995PTC022602,RVK Energy Private Limited,FC,Hyderabad,No,2020-01-06,2021-11-11,114.46,105.46,9.0,6.59,6.7,0.68,0
419,U29299PN2002PLC017050,Fabtech Projects and Engineers Limited,FC,Mumbai,No,2019-09-24,2021-11-16,1268.4195249086652,1175.4457347,92.9737902086652,154.79,193.68,4.3,0
420,U27100TG2008PTC058439,Agarwal Steel Structures (India) Private Limited,FC,Hyderabad,No,2021-01-18,2021-11-17,32.247699999999995,12.1099,20.1378,4.13,6.1599,0.09,0
421,U27104WB1990PLC049475,SPS Metal Cast and Alloys Limited,OC,Kolkata,Yes,2019-06-25,2021-11-25,892.058690845,754.918818945,137.1398719,10.85,11.75,0.02,0
422,U23109WB2004PLC099328,Wellman Carbo Metalicks India Private Limited,FC,Kolkata,Yes,2019-08-07,2021-11-25,308.1,85.65,222.45,15.83,18.99,0.67,0
423,U45201WB1999PLC090499,Atlantic Projects Limited,FC,Kolkata,No,2019-10-15,2021-11-25,194.7132208,153.1110018,41.602219,3.93,4.4,0.1,0
424,U26101WB2000PTC090917,Krrome Glass Private Limited,FC,Kolkata,No,2020-01-17,2021-11-25,94.05,58.36,35.69,6.67,9,0.09,0
425,U60232DL2015PTC288609,Flywheel Logistics Solutions Private Limited,FC,New Delhi,No,2020-10-06,2021-11-26,17.11,8.93,8.18,1.55,1.53,0.75,0
426,U17239TN1937PLC001852,The National Sewing Thread Company Limited,FC,Chennai,No,2019-08-29,2021-12-06,154.5212258,129.0778126,25.4434132,22.05,20.0803355,0.4411539,0
427,U74999DL1990PLC123785,Rohtas Projects Limited,FC,New Delhi,No,2019-09-30,2021-12-13,387.8067297,384.6992794,3.1074503,54.935084520000004,340.0119631,0.466117545,0
428,U27109GJ1994PLC023962,Shaifali Steels Limited,OC,Ahmedabad,No,2019-12-17,2021-12-13,116.57,104.89,11.68,6.59,7.75,2.16,0
429,U27101GJ1990PTC013215,Morakhia Copper and Alloys Private Limited,FC,Ahmedabad,No,2020-02-19,2021-12-13,109.26,106.49,2.77,7.98,10.18,0.01,0
430,U27109GJ2008PTC053776,Agarwal Mittal Concast Private Limited,OC,Ahmedabad,No,2020-03-16,2021-12-13,225.31,132.29,93.02,45.58,47.98,0.2,0
431,U29100GJ2011PTC066371,Favourite Fabtech Private Limited,OC,Ahmedabad,No,2020-03-17,2021-12-14,3.03,1.86,1.17,2.71,1.86,0.63,0
432,U85191UP2013PTC058988,Panacealife Healthzone Private Limited,FC,Allahabad,No,2020-09-03,2021-12-14,8.125468900000001,4.82,3.3054689,5.84,4,0.8071696,0
433,U31200BR1995PTC006868,Ambient Computronics Private Limited,OC,Kolkata,No,2020-12-10,2021-12-14,0.461827,0.0,0.461827,0.41,0,0.461827,0
434,U17200AP2009PTC066221,Venkatadri Spinning Mills Private Limited,OC,Hyderabad,No,2019-10-01,2021-12-16,21.58,15.34,6.24,5.01,5.57,0.62,0
435,U74120MH2011PTC213916,Zicom Saas Private Limited,FC,Mumbai,No,2020-03-18,2021-12-16,185.54,128.65,56.89,14.98,12.07,2.74,0
436,L24117WB1990PLC199409,Kilburn Chemicals Limited,FC,Kolkata,No,2020-08-10,2021-12-16,261.5,233.66,27.84,128.89,128.52,1.68,0
437,U70200DL2012PTC232945,Banyantree Developers Private Limited,FC,New Delhi,No,2021-03-01,2021-12-17,3.8,3.65,0.15,0.99,0.84,0.01,0
438,U74899DL1995PTC067306,Solo Metals Private Limited,OC,New Delhi,Yes,2019-12-17,2021-12-24,59.42,37.67,21.75,5.04,5.15,0.1,0
439,U40106DL2008PTC227040,Astonfield Solar (Gujarat) Private Limited,CD,New Delhi,No,2018-11-20,2022-01-03,79.93983709999999,78.0846711,1.855166,28.7726076,24.5,0.5044,0
440,U51398TG2002PTC039665,AP Gems and Jewellary Pack Private Limited,FC,Hyderabad,No,2019-06-04,2022-01-03,57.6910416,57.6910416,,91.35,25,,0
441,U61100AP1999PLC032961,Kei-Rsos Maritime Limited,OC,Hyderabad,No,2019-08-28,2022-01-03,78.39999999999999,68.38,10.02,11.85,16.7,0.35,0
442,U17111WB1992PLC055566,Hail Tea Limited,OC,Kolkata,No,2020-01-21,2022-01-03,18.71,14.43,4.28,4.79,10,2.36,0
443,L27100GJ1990PLC014383,Real Strips Limited,FC,Ahmedabad,No,2021-03-09,2022-01-04,95.04,95.04,0.0,83.01,77.1,0,0
444,L51909DL1985PLC021270,India Stuffyarn Limited,OC,New Delhi,Yes,2021-03-11,2022-01-04,0.07375,0.0,0.07375,0.0024577,0,0.12,0
445,L72200TG1993PLC015306,COVIDH Technologies Limited,OC,Hyderabad,Yes,2021-01-07,2022-01-10,1.74,0.0,1.74,0.0076773,0,0.2,0
446,U45200TG1985PLC005445,S.V.E.C. Constructions Limited,FC,Hyderabad,Yes,2021-01-08,2022-01-10,625.3799482999999,617.42,7.9599483,4.02,5.5,0.2,0
447,L27109WB1996PLC082021,Narayani Steels Limited,FC,Kolkata,No,2021-03-24,2022-01-11,296.1334988,296.1334988,0.0,17.37,27.62,0,0
448,U51397TN2001PTC047385,Cura Healthcare Private Limited,OC,Chennai,Yes,2019-12-10,2022-01-13,21.37,16.01,5.36,9.93,8.5,1.2,0
449,U70102MH2007PTC171711,Mather Projects Private Limited,FC,Mumbai,No,2018-11-30,2022-01-18,90.1069356,87.32,2.7869356,115.64,87.32,0.6967339,0
450,U45400DL2007PTC169313,Vardhman Buildtech Private Limited,FC,New Delhi,No,2019-01-29,2022-01-28,133.4703444,127.5335308,5.9368136,35.25087045,88.5458489,1.6390634,0
451,L21015OR1980PLC000916,COS Board Industries Limited,OC,Cuttack,Yes,2019-12-16,2022-02-03,101.84,79.58,22.26,16.77,21.76,1.84,0
452,L93090TG1993PLC088165,Shiva Medicare Limited,FC,Hyderabad,No,2020-12-14,2022-02-07,2.6944825000000003,1.9245722,0.7699103,0.0001476,0.6911126,0.0384956,0
453,U27110MH1991PTC062977,Utech Engineering Work (India) Private Limited,OC,Mumbai,No,2019-06-25,2022-02-11,20.2,13.61,6.59,2.75,12,1.65,0
454,L27320OR1982PLC001137,Krishna Ferro Product Limited,OC,Cuttack,Yes,2019-10-04,2022-02-15,54.47,52.92,1.55,1.8,2.45,0.02,0
455,U40108AP2010PTC068559,Coastal Oil & Gas Infrastructure Private Limited,FC,Amaravati,Yes,2021-02-26,2022-02-16,1245.08,1197.85,47.23,36.47,36.63,0,0
456,U74994WB2011PTC157676,Kariwala Designers Private Limited,OC,Kolkata,Yes,2019-10-24,2022-02-17,6.6912161,6.46,0.2312161,3.54,3.4,0.0125,0
457,U74899DL1990PTC041296,Mass Metals Private Limited,OC,New Delhi,Yes,2019-11-07,2022-02-21,52.16,34.15,18.01,0.49,3.59,0.29,0
458,U40102MH2008PLC180778,Ideal Energy Projects Limited,FC,Mumbai,No,2020-01-28,2022-03-01,3260.91,3188.31,72.6,356.13,360,2,0
459,U25203DL2005PTC135194,Proactive Plast Private Limited,OC,New Delhi,Yes,2019-10-14,2022-03-04,30.481642086,12.080697685,18.400944401,12.53,12.080697684999999,0.91,0
460,U29253WB2008PLC123604,Om Besco Rail Products Limited,OC,Kolkata,No,2020-05-20,2022-03-08,103.900962768,68.120227852,35.780734916,29.97,28.84,0.5743006,0
461,L29309TG1990PLC011721,Bartronics India Limited,FC,Hyderabad,No,2019-12-02,2022-03-10,1067.09,1041.95,25.14,24.59,25,0.07,0
462,U17121MH2006PTC162564,Deegee Cotsyn Private Limited,FC,Mumbai,No,2019-02-26,2022-03-11,164.26999999999998,154.51,9.76,37.17,31.8,0.19,0
463,U67120RJ2007PTC023816,Kanishkdeep Stock Consultants Private Limited,CD,Jaipur,Yes,2021-02-09,2022-03-11,0.015,,0.015,1.5e-09,,0.015,0
464,U45200MH2004PTC147249,D Thakkar Construction Private Limited,OC,Mumbai,No,2019-03-27,2022-03-14,463.4849255,373.97,89.5149255,17.09,25.63,0.72,0
465,U45201DL2005PTC143735,M Tech Developers Private Limited,FC,New Delhi,No,2020-11-12,2022-03-15,122.4,121.63,0.77,35.07,50,0.65,0
466,U24231PB1988PLC008663,Kudos Chemie Limited,FC,Chandigarh,Yes,2019-07-05,2022-03-17,4207.5765046,3696.9265046,510.65,236.53,236.8,0.2,0
467,U27104UP1989PTC011063,Trimurti Concast Private Limited,FC,Allahabad,No,2019-12-24,2022-03-22,26.31,25.79,0.52,10.66,10.75,0.07,0
468,U01403AP2008PTC058425,Siva Ram Yarns Private Limited,OC,Hyderabad,No,2019-11-15,2022-03-23,37.94,35.19,2.75,16.35,15.37,0.1,0
469,U45202MH2008PTC177268,Ahinsa Buildtech Private Limited*,OC,Mumbai,No,2019-11-04,2022-03-24,439.01,283.18,155.83,16.48,214.4,7.79,0
470,U40104AS2009PTC009278,Cleanopolis Energy Systems India Private Limited,FC,Guwahati,Yes,2021-04-07,2022-03-24,16.240000000000002,11.88,4.36,5.35,5.5,3.21,0
471,U01403UP2012PLC051294,Farmech Foods Private Limited,OC,Allahabad,No,2020-02-04,2022-03-30,24.7,21.95,2.75,9.77,4.36,0.36,0
472,L27104WB2000PLC091629,Rohit Ferro-Tech Limited,FC,Kolkata,No,2020-02-07,2022-04-07,4221.360952525838,3948.2501058,273.11084672583854,416.29499999999996,479.0401595,17.12788992583853,0
473,U51102WB1947PTC015716,Serampore Belting Works Private Limited,OC,Kolkata,No,2019-08-09,2022-04-19,6.742029082,3.982029082,2.76,3.0748085,3.738067282,0.28,0
474,U15520WB1988PTC044954,Bhattacharyya Bottling Plant Private Limited,OC,Kolkata,Yes,2019-12-20,2022-04-20,10.5,5.45,5.05,1.87,1.32,0.76,0
475,L18101DL2005PLC134879,Indolsolar Limited,FC,New Delhi,No,2019-04-12,2022-04-21,2184.574888,2137.91,46.664888,89,90,4.19,0
476,U74899DL1979PTC009939,Vinayak Rathi Steels Rolling Mills Pvt Ltd,FC,New Delhi,Yes,2020-06-16,2022-04-21,63.75,60.14,3.61,16.87,19,0,0
477,U15312HR2001PLC034739,R P Basmati Rice Limited,OC,Chandigarh,Yes,2018-11-16,2022-04-22,348.85,329.81,19.04,5.57,5.5,0.09,0
478,L24131TN1986PLC012752,SIP Industries Limited,FC,Chennai,No,2019-08-30,2022-04-25,0.3233026,0.32,0.0033026,NC,0.32,0.0033026,0
479,U45400DL2007PTC165587,Value Infracon India Private Limited,FC,New Delhi,Yes,2018-05-04,2022-04-28,79.84,79.84,0.0,41.6782554,78.87,0,0
480,U24119RJ2004PTC019955,Super Shiv Shakti Chemicals Private Limited,FC,Jaipur,No,2020-01-10,2022-04-29,64.4344536,39.9344536,24.5,11.03,24.9,0.98,0
481,U25200GJ1990PLC014554,Heavy Metal and Tubes Limited,FC,Ahmedabad,No,2021-01-01,2022-04-29,286.91,275.45,11.46,38,45.5,0.16,0
482,U27101GA1997PTC002435,Mangal Iron Private Limited,FC,Mumbai,Yes,2018-06-19,2022-05-06,113.53,113.18,0.35,2.98,3.97,0.12,0
483,U70109DL2014PTC270537,Wall Rock Infrahome Private Limited,FC,New Delhi,Yes,2019-12-17,2022-05-18,25.48,22.71,2.77,13.69,12.87,1.16,0
484,U27203WB2005PTC102250,Bansal Alumex Private Limited,FC,Kolkata,No,2020-02-25,2022-05-18,57.458113036,57.458113036,0.0,3.2437698,6.4,0,0
485,U28113WB2002PTC094809,Krishna Alex Private Limited,FC,Kolkata,No,2021-09-14,2022-05-18,73.188658844,72.23883651,0.949822334,10.5447697,11.9461,0.036,0
486,U85110KA2007PTC068050,Yashomati Hospitals Private Limited#,FC,Bengaluru,No,2021-03-16,2022-05-30,34.439685999999995,28.009686,6.43,57.15,28.01,6.43,0
487,U02102TZ1988PLC002310,B V V Paper Industries Limited,FC,Chennai,Yes,2021-05-31,2022-05-30,1042.2243635,1041.1474421,1.0769214,17.3063865,18.0120114,0.8379886,0
488,U74899DL1972PTC006381,Gopalsons Steels Private Limited,FC,New Delhi,No,2020-01-20,2022-06-06,50.9,38.01,12.89,10.3,10.58,0.22,0
489,L72200TG1997PLC045396,Sankhya Infotech Limited,FC,Hyderabad,Yes,2021-07-28,2022-06-15,44.68,37.81,6.87,0.09875155,4.64,0.07,0
490,U45400WB2002PTC094842,Basu & Co Road Contractors Private Limited,OC,Kolkata,Yes,2020-02-19,2022-06-16,28.15,10.97,17.18,2.61,6.82,0,0
491,U40100TN2008PLC101598,Bhatia Coke and Energy Limited,FC,Chennai,No,2019-05-22,2022-06-20,1509.2,1506.07,3.13,241.99,189.75,0.5,0
492,U27310WB1988PTC045361,Castal Extrusion Private Limited,FC,Kolkata,No,2020-03-18,2022-06-29,76.46000000000001,76.17,0.29,8.93,9.63,0.37,0
493,U45400DL2007PTC162906,Soni Realtors Private Limited,FC,New Delhi,Yes,2018-02-27,2022-06-10,212.6955385,190.7592965,21.936242,145.138319,143.1222303,18.99955,0
494,U28932MH1961PLC012117,PMT Machines Limited,FC,Mumbai,No,2018-10-22,2022-06-03,790.2509537000001,491.0026599,299.2482938,245.17,230.2324735,34.756486699999996,0
495,U55101PN2003PLC018217,Phadnis Resorts And Spa India Limited,FC,Mumbai,Yes,2019-03-14,2022-07-08,51.8193265,22.5599618,29.2593647,15.88,12.5494087,0.0937191,0
496,U40105WB1995PLC068616,Jhabua Power Limited,OC,Kolkata,No,2019-03-27,2022-07-06,5133.6322,5040.42026,93.21194,1884.29,1829.87837,17.51287,0
497,U45400DL2010PTC203693,Venta Realtech Private Limited,FC,New Delhi,Yes,2019-05-20,2022-05-30,365.6745572,342.9188703,22.7556869,137.77348,179.0334054,28.1486783,0
