Sl_No,CIN,Company_Name,Triggered_By,NCLT_Bench,Defunct,Date_Insolvency_Commencement,Date_Liquidation_Order,Total_Admitted_Claims,Admitted_Claims_FC,Admitted_Claims_OC,No_Resolution_Plans,Highest_Resolution_Value,Liquidation_Flag
2631,U45202DN2006PTC000209,Cupid Estatecon Private Limited,FC,Ahmedabad,Yes,2024-04-16,2024-10-03,14.595260199999998,2.8828091,11.7124511,0.0,-,1
2632,U32100MH1997PTC107702,Rahi Electronics Private Limited,CD,Mumbai,Yes,2019-02-18,2024-10-29,5.2175866,5.2175866,0,0.0,-,1
2633,U27109AP2004PTC043747,Makro Cast Private Limited ,OC,Amaravati,Yes,2019-12-13,2024-10-16,93.7895639,84.0404755,9.7490884,1.0,18.0000115,1
2634,U13100MH2010PTC263990,M.S. Mining And Consultancy Pvt Ltd,OC,Mumbai,No,2020-03-17,2024-10-01,10.8258206,8.6488328,2.1769878,1.0,3.45,1
2635,U50500MH2010PTC201087,Ritu Automobiles Private Limited,FC,Mumbai,Yes,2022-10-03,2024-10-10,90.651705,81.8119082,8.8397968,0.0,-,1
2636,U24239MH1970PTC014516,Warden Surgical Company Private Limited,FC,Mumbai,No,2023-01-09,2024-10-30,15.4310904,14.5531677,0.8779227,0.0,-,1
2637,U45201TN2006PTC058525,Call Express Construction (India) Private Limited.,OC,Chennai,Yes,2023-07-05,2024-10-18,90.230098,83.1238953,7.1062027,0.0,-,1
2638,U74999WB2011PTC162128,Deccan Tradcom Private Limited,FC,Kolkata,Yes,2023-07-19,2024-10-16,82.0947846,82.0947846,0,0.0,-,1
2639,U74140DL2010PTC205766,Fidere Facilities Management Private Limited,FC,New Delhi,No,2023-10-05,2024-10-01,5.690635100000001,5.3570757,0.3335594,0.0,-,1
2640,U28939MP1982PLC002072,Gwalior Polypipes Limited,FC,Indore,No,2023-09-01,2024-10-07,57.0984461,56.024028,1.0744181,2.0,9,1
2641,U60231TN2012PLC086461,Cargowings Logistics Limited,OC,Chennai,Yes,2023-11-17,2024-10-23,176.5698353,168.8665312,7.7033041,0.0,-,1
2642,U51900MH1992PTC064967,Kesma Impex Pvt Ltd,FC,Mumbai,Yes,2023-09-12,2024-08-28,3.2709345,3.2709345,0,0.0,-,1
2643,U74999TN2012PTC085849,Stalwart International Trading Private Limited,FC,Chennai,Yes,2023-12-12,2024-10-25,6.8508506,1.92,4.9308506,0.0,-,1
2644,U74999MH2013PTC250035,Stone Export House Private Limited,OC,Mumbai,Yes,2023-12-05,2024-10-01,7.663662500000001,6.500581,1.1630815,0.0,-,1
2645,U74120MH2010PTC203520,B2X Service Solutions India Private Limited,CD,Mumbai,No,2023-12-08,2024-10-03,60.6915819,59.0538971,1.6376848,0.0,-,1
2646,U51909WB2001PTC092951,Spasht Marketing Private Limited,FC,Kolkata,Yes,2024-01-01,2024-10-04,3.1602247,3.1602247,0,0.0,-,1
2647,U51505MH2002PTC134513,North American Mercantile India Private Limited,CD,Mumbai,Yes,2024-01-02,2024-10-14,56.4791718,20.6620986,35.8170732,0.0,-,1
2648,U17303TG2017PTC117255,Mithra Yarns Private Limited,CD,Hyderabad,No,2024-01-12,2024-11-06,8.8365235,8.8181284,0.0183951,0.0,-,1
2649,U74110PN2020PTC194144,Aberdeen Foods Private Limited,CD,Mumbai,Yes,2024-02-09,2024-10-03,1.5625396,0.0,1.5625396,0.0,-,1
2650,U50402OR2011PTC013389,Grand Auto Udyog Private Limited,FC,Cuttack,Yes,2024-03-06,2024-10-18,28.1313977,22.2412483,5.8901494,1.0,0.05,1
2651,L99999MH1992PLC066213,Jet Airways (India) Limited*,FC,Mumbai,,2019-06-20,2024-11-26,,,,,,1
2652,U72900MH2001PTC133203,Syntel Infosystems (Nagpur) Private Limited,FC,Mumbai,Yes,2019-11-19,2024-10-11,7.9326958,7.9326958,0,0.0,-,1
2653,U40107WB1999PLC089994,Wearit Global Limited,OC,Kolkata,No,2022-04-08,2024-11-14,595.3270239,462.5833661,132.7436578,1.0,19,1
2654,U34105MH2010PLC198698,Amw Commercial Vehicle Applications Private Limited,FC,Mumbai,Yes,2022-07-11,2024-10-25,612.1651800000001,524.5328252,87.6323548,0.0,-,1
2655,U74999MH2008PTC187282,Nec Electromech (India) Private Limited,OC,Mumbai,Yes,2023-03-02,2024-11-14,0.0,0.0,0,0.0,-,1
2656,U24132AP2014PTC095852,Villmar Agro Polymers Private Limited,OC,Amaravati,Yes,2023-04-12,2024-11-06,13.4513712,11.8578471,1.5935241,0.0,-,1
2657,U51909MH2016PTC287425,Syntex Trading & Agency Private Limited,FC,Mumbai,Yes,2023-06-09,2024-10-25,547.2189952,547.2189952,0,0.0,-,1
2658,U51909WB2004PLC098942,Salasar Exim Limited,OC,Kolkata,Yes,2023-07-11,2024-11-05,106.9103706,5.1875002,101.7228704,0.0,-,1
2659,U45400WB2008PTC151300,Royal Infrasoft Private Limited,FC,Kolkata,No,2023-11-10,2024-11-05,94.891075,94.611075,0.28,0.0,-,1
2660,U70103MH2012PTC231662,Taquito Lease Operators Private Limited,FC,Mumbai,Yes,2023-11-10,2024-11-13,337.8389925,337.72648,0.1125125,0.0,-,1
2661,U93090MH2006PTC164347,Infra Dredge Services Private Limited,FC,Mumbai,Yes,2023-12-19,2024-11-11,466.8749836,448.5559442,18.3190394,0.0,-,1
2662,U51101MH2011PTC223836,Nagraj Alloys Private Limited,CD,Mumbai,Yes,2024-01-02,2024-11-11,26.5033141,19.1798122,7.3235019,1.0,1.374,1
2663,U45202MH2001PTC132180,Sanghvi Land Developers Private Limited,FC,Mumbai,Yes,2024-01-29,2024-11-28,174.7840878,174.7840878,0,0.0,-,1
2664,U74120MH2013PTC249891,Whiskers Infracare Private Limited,CD,Mumbai,Yes,2024-02-09,2024-10-15,4.9189451,3.3234561,1.595489,0.0,-,1
2665,U29300PN2012PTC143326,Dsk Milkotronics Private Limited,OC,Mumbai,Yes,2024-02-14,2024-11-28,3.9735309,3.9735309,0,0.0,-,1
2666,U74900MH2013PTC248324,Beckhem Trading Private Limited,FC,Mumbai,Yes,2024-03-07,2024-10-24,200.7913465,200.2774365,0.51391,0.0,-,1
2667,U32300TG1981PTC003266,Ravi Electronics Private Limited,FC,Hyderabad,Yes,2024-04-15,2024-11-05,2.9511666,2.9511666,0,0.0,-,1
2668,U72200BR2006PLC012666,Bihar E-Governance Services & Technologies Limited,CD,Kolkata,Yes,2024-04-24,2024-11-08,0.0625856,0.0,0.0625856,0.0,-,1
